customer_id,product_views,clicks,cart_additions,discount,review_views,group,purchase,purchase_amount
1,3,1,4,10,8,B,False,0.0
2,23,6,3,5,0,A,False,0.0
3,19,9,2,5,3,B,True,3868.6517070494847
4,13,8,4,5,4,A,True,4696.816932067412
5,13,2,0,10,7,A,False,0.0
6,25,4,4,5,1,A,False,0.0
7,3,5,4,20,4,A,False,0.0
8,21,2,2,10,1,B,False,0.0
9,6,2,3,20,7,A,True,3061.9349541110073
10,3,2,2,15,6,A,False,0.0
11,16,9,1,5,4,A,True,3972.546934248556
12,29,7,3,5,3,B,True,5589.194187418712
13,22,8,1,15,1,B,False,0.0
14,23,8,1,5,9,B,False,0.0
15,21,9,2,5,6,A,False,0.0
16,23,1,4,20,3,B,True,4772.08287809291
17,15,8,1,10,4,B,True,3446.651356087031
18,4,0,2,0,7,B,False,0.0
19,25,4,0,10,7,A,True,4148.293341485425
20,14,5,0,10,4,B,True,1899.821895989398
21,15,3,0,20,3,A,False,0.0
22,11,1,0,15,6,A,False,0.0
23,6,1,4,0,6,A,False,0.0
24,27,8,4,0,5,A,False,0.0
25,23,3,4,15,0,A,False,0.0
26,19,3,0,0,4,A,False,0.0
27,12,9,0,5,6,A,False,0.0
28,24,1,1,0,9,B,False,0.0
29,16,9,2,0,5,A,True,4003.9685922983217
30,13,9,1,20,3,B,True,3397.011696034322
31,14,5,2,0,5,B,True,3225.062192262565
32,7,1,0,0,1,B,False,0.0
33,3,1,3,20,0,B,False,0.0
34,17,2,1,0,6,A,False,0.0
35,26,5,0,20,9,B,True,3049.8782812039126
36,2,1,3,0,8,B,False,0.0
37,25,4,4,0,5,A,False,0.0
38,25,1,0,0,0,A,False,0.0
39,9,5,2,15,9,B,False,0.0
40,19,0,4,15,4,A,True,4363.933818540364
41,5,7,3,10,2,A,False,0.0
42,22,0,4,5,8,B,True,4511.918712818781
43,21,1,2,0,7,B,False,0.0
44,11,1,1,10,7,A,True,1964.5890859351764
45,2,8,3,5,2,B,True,4567.076307895955
46,29,0,0,10,9,A,False,0.0
47,13,4,1,15,4,B,True,2607.061144439782
48,26,5,3,20,5,B,False,0.0
49,20,5,3,10,7,A,True,4675.927207647503
50,23,6,0,0,6,A,False,0.0
51,23,8,2,5,1,B,True,5201.339127281869
52,6,3,1,20,3,A,False,0.0
53,11,8,2,10,3,A,True,3224.53445239214
54,14,3,4,15,9,A,True,4964.392057176937
55,15,9,0,10,7,B,True,3562.8377857980768
56,2,5,4,0,3,A,False,0.0
57,16,7,2,20,7,B,False,0.0
58,5,8,3,15,7,B,True,4229.3986841830965
59,22,7,2,20,3,A,False,0.0
60,20,8,1,20,4,B,False,0.0
61,27,5,3,5,8,B,False,0.0
62,22,0,3,5,5,A,False,0.0
63,11,4,0,5,1,B,False,0.0
64,29,1,3,20,7,A,False,0.0
65,12,8,3,10,5,A,False,0.0
66,10,2,1,10,5,A,False,0.0
67,27,2,4,20,7,B,True,4965.006823066198
68,11,2,3,15,9,B,True,3544.964927083037
69,3,6,1,20,3,A,False,0.0
70,14,5,0,20,4,B,False,0.0
71,24,9,3,0,1,B,True,4534.093824337907
72,6,4,1,5,6,B,False,0.0
73,14,2,3,15,4,B,False,0.0
74,4,0,2,20,3,A,False,0.0
75,20,0,2,0,6,B,True,2860.9584711230877
76,14,3,0,5,4,A,False,0.0
77,10,9,3,10,4,A,False,0.0
78,7,5,0,15,4,A,False,0.0
79,17,8,2,0,2,B,False,0.0
80,20,1,4,15,1,B,False,0.0
81,28,0,4,5,8,A,False,0.0
82,13,8,4,5,0,A,True,4608.72214183771
83,5,1,4,10,3,A,True,3748.277442249202
84,25,0,2,10,6,B,True,3203.1510614467584
85,19,4,1,15,1,A,False,0.0
86,21,9,4,5,6,B,False,0.0
87,3,6,4,20,7,A,True,4370.018745895168
88,10,0,4,0,6,A,False,0.0
89,23,8,3,20,3,B,True,5058.28034134467
90,25,8,0,0,0,A,True,3010.425374325706
91,13,8,2,15,8,A,True,3542.8324457524404
92,24,9,2,5,3,A,True,5200.221283274219
93,25,2,4,5,8,B,False,0.0
94,12,9,1,0,1,A,False,0.0
95,27,3,1,15,1,A,False,0.0
96,9,8,0,0,7,A,False,0.0
97,7,5,4,15,9,B,True,3497.6476111747297
98,20,7,3,15,8,B,True,5529.47479118845
99,19,6,0,20,7,B,False,0.0
100,5,6,2,15,2,A,True,3283.225573285775
101,25,6,2,5,9,B,False,0.0
102,6,7,2,15,6,A,True,3083.57011555222
103,24,7,4,20,1,B,False,0.0
104,1,1,0,5,1,B,False,0.0
105,24,8,1,0,8,B,True,3573.5523794506253
106,23,5,0,20,2,B,False,0.0
107,23,3,1,0,7,B,False,0.0
108,20,5,4,10,1,A,True,5186.431259012887
109,14,9,4,5,2,B,True,5259.843790306992
110,21,8,0,0,2,B,False,0.0
111,9,8,3,15,2,B,True,4133.564458778282
