student_id,practice_hours,attendance,assignments_completed,final_score,passed,high_attendance,risk_score,risk_level
36,3.65259902718,51.14019355148488,3,57.60125990734738,False,False,18.177563962350323,medium
50,2.9565347705303373,51.08060399401652,5,61.40160103379554,True,False,16.675818801795042,medium
29,3.1600528889456694,55.17014838612758,3,61.19309128435314,True,False,16.248955484161726,medium
64,11.709984003824358,51.87062780880899,6,85.93599523261891,True,False,16.038811657357304,medium
25,11.897368959032669,52.08070869309462,6,91.82717865995446,True,False,15.975787392071613,medium
40,10.377395925555144,54.13649999612193,6,85.8783318298764,True,False,15.359050001163421,medium
31,11.42667018270944,58.529648426844304,3,84.28155887185122,True,False,15.241105471946709,medium
15,7.207798783582636,58.83863914696158,3,76.1158446260057,True,False,15.148408255911525,medium
88,7.466281223519424,54.72333340307576,7,71.98650044659341,True,False,14.782999979077271,medium
76,4.939374488307951,52.245530969616446,9,74.24254804247002,True,False,14.726340709115066,medium
